Fecha,Hora,DirMed_a_1100cm,Humedad_a_620cm,Irradia_a_200cm,Presion_a_150cm,SigDir_a_1100cm,SigVel_a_1100cm,TemAire_a_620cm,VelMax_a_1100,VelMedia_a_1100cm
2017/01/01,00:00,247.3,93,0.89,964.08,66.02,0.56,2.4,2.35,0.51
2017/01/01,00:10,257.2,93.7,1.17,964.02,28.71,0.59,2.26,2.74,1.06
2017/01/01,00:20,233.5,93.7,1.47,963.89,40.88,0.6,2.15,2.65,1
2017/01/01,00:30,232.7,92.4,1.21,963.74,24.92,0.77,2.25,3.04,1.34
2017/01/01,00:40,259.2,92.6,1.04,963.6,32.26,0.8,2.04,3.33,1.32
2017/01/01,00:50,255.3,91.4,1.04,963.49,24.39,0.77,1.94,3.82,1.43
2017/01/01,01:00,258.3,91.5,1.36,963.35,21.88,0.77,1.87,3.53,1.77
2017/01/01,01:10,236.2,93,1.14,963.31,18.54,0.64,1.7,3.14,1.62
2017/01/01,01:20,222.2,92.7,1.31,963.2,60.14,0.54,2.01,2.16,0.64
2017/01/01,01:30,284.8,91.5,1.2,963.16,16.29,0.36,2.05,1.47,0.69
2017/01/01,01:40,272.2,91.6,1.29,963.07,19.22,0.43,2.05,2.06,1.09
2017/01/01,01:50,234.8,91.9,1.05,963.05,16.04,0.87,1.83,4.02,2.05
2017/01/01,02:00,207.1,94,1.36,963,42.58,0.72,1.54,3.63,1.86
2017/01/01,02:10,229.2,93.2,1.15,963.01,54.5,0.47,1.95,2.06,0.58
2017/01/01,02:20,246.3,91.5,1.21,962.97,43.65,0.56,1.98,2.35,1.01
2017/01/01,02:30,192.6,91.1,1.2,962.9,52.9,0.54,2.12,2.25,0.56
2017/01/01,02:40,218.3,90.6,1.54,962.81,76.88,0.53,1.85,1.96,0.5
2017/01/01,02:50,208.5,90.5,1.07,962.78,25.12,0.51,1.78,3.14,1.85
2017/01/01,03:00,189,91.3,1.22,962.68,34.02,0.57,1.66,2.74,1.36
2017/01/01,03:10,241.4,90.5,1.09,962.48,23.83,0.57,1.76,2.16,0.93
2017/01/01,03:20,234,90.1,1.11,962.31,24.2,0.77,1.65,3.23,1.42
2017/01/01,03:30,193.5,89.8,1.13,962.23,27.02,0.53,1.71,2.06,0.95
2017/01/01,03:40,177.7,90.4,0.97,962.06,67.95,0.64,1.53,2.74,0.91
2017/01/01,03:50,236.2,91.4,1.52,961.96,25.71,0.7,1.38,2.74,1.49
2017/01/01,04:00,170,91.2,0.92,961.85,21.53,0.84,1.2,3.63,1.76
2017/01/01,04:10,193.2,90.4,1.52,961.73,41.45,0.37,1.44,1.37,0.55
